Name,Year,Runtime,Rate,Votes
The Shawshank Redemption,1994,142,9.3,3200000.0
The Godfather,1972,175,9.2,2200000.0
The Dark Knight,2008,152,9.1,3200000.0
The Godfather Part II,1974,202,9.0,1500000.0
The Lord of the Rings: The Return of the King,2003,201,9.0,2200000.0
12 Angry Men,1957,96,9.0,999000.0
Schindler's List,1993,196,9.0,1600000.0
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.9,2200000.0
Pulp Fiction,1994,154,8.8,2500000.0
"The Good, the Bad and the Ugly",1966,178,8.8,898000.0
The Lord of the Rings: The Two Towers,2002,179,8.8,2000000.0
Forrest Gump,1994,142,8.8,2500000.0
Fight Club,1999,139,8.8,2700000.0
Inception,2010,148,8.8,2900000.0
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,1500000.0
The Matrix,1999,136,8.7,2300000.0
Interstellar,2014,169,8.7,2600000.0
GoodFellas,1990,145,8.7,1400000.0
One Flew Over the Cuckoo's Nest,1975,133,8.6,1200000.0
Seven,1995,127,8.6,2100000.0
It's a Wonderful Life,1946,130,8.6,558000.0
The Silence of the Lambs,1991,118,8.6,1700000.0
Saving Private Ryan,1998,169,8.6,1700000.0
Seven Samurai,1954,207,8.6,405000.0
The Green Mile,1999,189,8.6,1600000.0
City of God,2002,130,8.6,879000.0
Life Is Beautiful,1997,116,8.6,820000.0
Terminator 2: Judgment Day,1991,137,8.6,1300000.0
Back to the Future,1985,116,8.5,1500000.0
Star Wars: Episode IV - A New Hope,1977,121,8.6,1600000.0
Kill Bill: The Whole Bloody Affair,2004,253,8.7,54000.0
Spirited Away,2001,124,8.6,981000.0
Gladiator,2000,155,8.5,1900000.0
The Pianist,2002,150,8.5,1000000.0
Parasite,2019,132,8.5,1200000.0
Grave of the Fireflies,1988,88,8.5,394000.0
Harakiri,1962,133,8.6,93000.0
Psycho,1960,109,8.5,792000.0
The Lion King,1994,88,8.5,1300000.0
The Departed,2006,151,8.5,1600000.0
Whiplash,2014,106,8.5,1200000.0
The Prestige,2006,130,8.5,1600000.0
American History X,1998,119,8.5,1300000.0
Spider-Man: Across the Spider-Verse,2023,140,8.5,547000.0
Léon: The Professional,1994,110,8.5,1400000.0
Cinema Paradiso,1988,174,8.5,320000.0
Casablanca,1942,102,8.5,659000.0
The Intouchables,2011,112,8.5,1000000.0
The Usual Suspects,1995,106,8.5,1200000.0
Django Unchained,2012,165,8.5,1900000.0
Alien,1979,117,8.4,1100000.0
Rear Window,1954,112,8.4,573000.0
Modern Times,1936,87,8.5,287000.0
Once Upon a Time in the West,1968,145,8.5,387000.0
City Lights,1931,87,8.5,218000.0
WALL·E,2008,98,8.4,1300000.0
